ticker,first_date,last_date,n_days,latest_mcap,avg_volume,category,mcap_rank,has_price_history
1INCH,2020-12-25,2026-05-23,1976,137607710.11993504,42034414.31821031,DeFi,46.0,1
AAVE,2020-10-02,2026-05-23,2060,1385527756.1786704,147167216.13103592,DeFi,26.0,1
ADA,2017-12-01,2026-05-23,3096,8981193769.41899,433733801.2403347,Layer 1,13.0,1
ALGO,2019-06-22,2026-05-23,2528,1146310461.10811,89653624.25251117,Layer 1,27.0,1
ANKR,2019-03-16,2026-05-23,2626,46980391.0803951,30536721.409742925,Infrastructure,55.0,0
APT,2022-06-07,2026-05-23,1447,793680452.6941049,112684251.1334194,Layer 1,29.0,0
ATOM,2019-04-23,2026-05-23,2588,1074611421.3024187,142519686.07284337,Layer 1,28.0,0
AVAX,2020-07-25,2026-05-23,2129,4051715734.995456,277224819.6882286,Layer 1,18.0,0
AXS,2020-11-04,2026-05-23,2027,207444486.2460432,122599560.51687028,Gaming,38.0,0
BAT,2017-10-02,2026-05-23,3156,151580951.8210485,28623142.441487674,Utility,45.0,1
BCH,2017-07-28,2026-05-23,3222,7117062802.981137,257505216.072558,Payment,14.0,1
BNB,2017-07-15,2026-05-23,3235,4498109683.69823,515795877.09427154,Layer 1,16.0,1
BTC,2010-07-18,2026-05-23,5789,1534955087416.121,5251153967.319882,Layer 1,1.0,1
CHZ,2019-09-07,2026-05-23,2451,391847893.69796425,107999347.28351986,Gaming,35.0,0
COMP,2020-06-15,2026-05-23,2169,199732113.716623,37441770.5815369,DeFi,39.0,1
CRV,2020-08-13,2026-05-23,2110,557844613.5462767,95847451.20721537,DeFi,33.0,1
DASH,2014-02-08,2026-05-23,4488,584605745.3510479,60489111.52963471,Privacy,31.0,1
DOGE,2014-01-22,2026-05-23,4505,15895894616.481264,554707641.9698608,Meme,8.0,1
DOT,2019-08-28,2026-05-23,2461,10926199786.40698,308069142.3127677,Layer 1,10.0,1
EGLD,2020-09-03,2026-05-23,2089,121316306.18855192,50161714.131574504,Layer 1,47.0,0
ENJ,2017-11-02,2026-05-23,3125,82768076.43726303,39751900.566708006,Gaming,53.0,0
EOS,2017-06-29,2026-05-23,3251,104141911.2533602,246922697.02363557,Layer 1,50.0,1
ETC,2016-07-25,2026-05-23,3590,1410866334.6448047,199641290.87931386,Layer 1,25.0,1
ETH,2015-08-08,2026-05-23,3942,257582954544.10623,3991534782.1812563,Layer 1,2.0,1
FIL,2020-10-15,2026-05-23,2047,766845720.1058145,237056154.70895156,Storage,30.0,0
FTM,2019-05-02,2026-05-23,2579,16071258.911196638,111797871.59281178,Layer 1,58.0,0
GALA,2021-08-12,2026-05-23,1746,156729370.15979016,137256061.77287427,Gaming,43.0,0
GRT,2020-12-17,2026-05-23,1984,288441059.37793386,80478457.71294396,Infrastructure,37.0,0
HBAR,2019-09-18,2026-05-23,2440,3888087034.6259313,104689515.87107028,Layer 1,19.0,0
ICP,2021-05-10,2026-05-23,1840,1436778140.5800767,105439334.12703608,Layer 1,24.0,1
KNC,2017-09-27,2026-05-23,3161,1688689.9927610538,25261787.488892827,DeFi,63.0,1
LINK,2017-09-29,2026-05-23,3159,9556261815.96532,258615702.15373734,Oracle,12.0,1
LRC,2017-09-02,2026-05-23,3186,20461624.19674004,36268632.421327926,Layer 2,57.0,0
LTC,2013-03-26,2026-05-23,4807,4125643434.024308,232643484.13829243,Payment,17.0,1
MANA,2017-07-18,2026-05-23,3232,192879449.59864476,92280041.5349319,Metaverse,41.0,1
MATIC,2019-04-27,2025-11-12,2392,324995735.0062061,256776986.79027382,Layer 2,36.0,0
MKR,2017-12-22,2026-05-23,3075,151871235.0823242,24047545.335651137,DeFi,44.0,1
NEAR,2020-10-14,2026-05-23,2048,3169949407.4437494,168900478.05543974,Layer 1,22.0,0
NEO,2017-07-15,2026-05-23,3235,488225785.324285,64429807.309055336,Layer 1,34.0,1
OMG,2017-07-15,2026-05-23,3235,8917815.222945714,69189309.6921882,Layer 2,61.0,1
QTUM,2017-07-28,2026-05-23,3222,98548384.21671224,56458828.51659799,Layer 1,51.0,0
REN,2018-12-07,2026-05-23,2725,3281803.982450352,15440023.12830285,DeFi,62.0,1
REP,2015-10-14,2026-05-23,3808,10795973.309530802,7843104.202424799,DeFi,60.0,1
SAND,2020-08-14,2026-05-23,2109,191150500.57048413,162954727.1512011,Metaverse,42.0,0
SHIB,2020-07-31,2026-05-23,2123,3335245672.010073,387758777.3983073,Meme,21.0,0
SNX,2019-06-21,2026-05-23,2508,107246893.45869182,30946534.00500669,DeFi,49.0,1
SOL,2020-04-11,2026-05-23,2234,49507049208.74172,1412824278.063469,Layer 1,6.0,0
STORJ,2017-10-07,2026-05-23,3151,15106971.607590428,27052348.44970816,Storage,59.0,0
SUSHI,2020-08-28,2026-05-23,2095,60360664.72659891,87618846.79240382,DeFi,54.0,1
THETA,2018-01-17,2026-05-23,3049,199048774.643606,57266589.2746328,Layer 1,40.0,0
TRX,2017-10-07,2026-05-23,3151,34364019078.90731,240414937.57292068,Layer 1,7.0,1
UNI,2020-09-17,2026-05-23,2075,3457633328.67618,167445207.71000588,DeFi,20.0,1
USDC,2018-09-28,2026-05-23,2795,72541750173.07324,1.9999277613583354e+50,Stablecoin,5.0,1
