date,ticker,market_cap_usd,volume_usd
2020-12-25,1INCH,,511156417.96054
2020-12-26,1INCH,2428992153.36216,150292013.436719
2020-12-27,1INCH,1608525300.63852,132951077.554073
2020-12-28,1INCH,1657011227.396235,59896766.0071359
2020-12-29,1INCH,1340685537.513522,61621500.9529647
2020-12-30,1INCH,1651959827.81835,82596680.2531685
2020-12-31,1INCH,2047856105.999595,74845819.0289006
2021-01-01,1INCH,1725317485.134135,31878540.5213877
2021-01-02,1INCH,1545368313.113085,16978430.1288985
2021-01-03,1INCH,1679718479.50206,26656854.1495436
2021-01-04,1INCH,1542135182.56707,25241604.4529645
2021-01-05,1INCH,1883338755.6126,31411461.4400425
2021-01-06,1INCH,2243108094.25404,45113762.4320537
2021-01-07,1INCH,1947255915.3255,45766579.6658513
2021-01-08,1INCH,1806767543.0742,35096541.4506101
2021-01-09,1INCH,1896334320.67605,25934593.8822523
2021-01-10,1INCH,1824851518.288545,31590617.0832459
2021-01-11,1INCH,1679407110.142125,22408118.1778292
2021-01-12,1INCH,1682459163.866385,16691607.3722695
2021-01-13,1INCH,1911192826.4937,24884504.9400747
2021-01-14,1INCH,1971253116.900405,21594172.8950592
2021-01-15,1INCH,2013318333.254625,39674564.1726231
2021-01-16,1INCH,2460341231.48073,59686999.6865162
2021-01-17,1INCH,3090305418.760875,99051469.7664314
2021-01-18,1INCH,2775562829.738715,58221416.3857896
2021-01-19,1INCH,2910446861.20023,49837151.1492521
2021-01-20,1INCH,2779458532.875075,32599147.955575
2021-01-21,1INCH,2376322429.469385,30755587.135374
2021-01-22,1INCH,2637669601.486605,30640082.9132735
2021-01-23,1INCH,2898369608.52942,33511417.4720613
2021-01-24,1INCH,3665436521.831445,64492051.8218464
2021-01-25,1INCH,3595392223.020615,92174143.8476473
2021-01-26,1INCH,4003482725.83515,66459503.1764898
2021-01-27,1INCH,3770373266.10393,98906296.9845245
2021-01-28,1INCH,4752484736.987565,179371022.772709
2021-01-29,1INCH,5083594379.042805,136645297.326222
2021-01-30,1INCH,6809487160.502535,327978187.28815
2021-01-31,1INCH,7492382977.481565,529601340.834023
2021-02-01,1INCH,7552965119.922165,316518172.236498
2021-02-02,1INCH,7022399695.07589,142528552.897228
2021-02-03,1INCH,7571175459.908445,178493557.554289
2021-02-04,1INCH,8467480133.641275,284389022.215779
2021-02-05,1INCH,8740005792.36195,214194435.214932
2021-02-06,1INCH,7878476181.695685,187339857.348526
2021-02-07,1INCH,7441443656.994375,190986675.056028
2021-02-08,1INCH,8020379393.504625,175553003.865983
2021-02-09,1INCH,7675786744.68411,151768278.860429
2021-02-10,1INCH,7380118290.796215,176056727.767525
2021-02-11,1INCH,8525307609.706965,220531923.140073
2021-02-12,1INCH,8000491194.81096,212710564.646249
2021-02-13,1INCH,8631389532.98718,249956988.375992
2021-02-14,1INCH,7956265355.963565,220171977.333988
2021-02-15,1INCH,7450973898.375405,240860803.306172
2021-02-16,1INCH,7121162479.88556,131298872.229983
2021-02-17,1INCH,7290237071.718795,127685723.46499
2021-02-18,1INCH,7164274058.606475,106274027.716187
2021-02-19,1INCH,6920666492.48583,112008178.568897
2021-02-20,1INCH,7687736257.98999,349226832.243022
2021-02-21,1INCH,7579566260.11572,168166959.082129
2021-02-22,1INCH,6756465350.24181,175539990.363262
2021-02-23,1INCH,5416774246.540575,190612311.976116
2021-02-24,1INCH,5431522788.79716,138181368.338156
2021-02-25,1INCH,6073617880.32186,275439158.44073
2021-02-26,1INCH,6768510964.11351,474601819.841932
2021-02-27,1INCH,6181655695.41738,166965021.926295
2021-02-28,1INCH,5805595003.78866,139701203.444235
2021-03-01,1INCH,6144155578.996605,103419445.418963
2021-03-02,1INCH,6016858234.44897,122226766.718041
2021-03-03,1INCH,6169918850.3079,90138240.9981214
2021-03-04,1INCH,5753425934.924895,84568324.4722319
2021-03-05,1INCH,5609872768.178295,70496157.2630496
2021-03-06,1INCH,5743669183.98654,45277110.0552362
2021-03-07,1INCH,5946241611.7458,96876928.3250021
2021-03-08,1INCH,6452630848.964775,133702090.874044
2021-03-09,1INCH,6666046196.021535,118775162.014362
2021-03-10,1INCH,6043497860.498445,116965068.960086
2021-03-11,1INCH,5997628186.39575,83406313.0328507
2021-03-12,1INCH,5692588176.210795,94635924.0531531
2021-03-13,1INCH,6210888629.865495,92794585.8947725
2021-03-14,1INCH,5891149799.505075,77052699.1949665
2021-03-15,1INCH,6034061636.238135,148760561.403533
