Date,Country,Exchange rate
1971-01-04,Australia,0.8987
1971-01-05,Australia,0.8983
1971-01-06,Australia,0.8977
1971-01-07,Australia,0.8978
1971-01-08,Australia,0.899
1971-01-11,Australia,0.8967
1971-01-12,Australia,0.8964
1971-01-13,Australia,0.8957
1971-01-14,Australia,0.8937
1971-01-15,Australia,0.8943
1971-01-18,Australia,0.8945
1971-01-19,Australia,0.8934
1971-01-20,Australia,0.8934
1971-01-21,Australia,0.893
1971-01-22,Australia,0.8925
1971-01-25,Australia,0.8909
1971-01-26,Australia,0.8905
1971-01-27,Australia,0.8905
1971-01-28,Australia,0.8902
1971-01-29,Australia,0.89
1971-02-01,Australia,0.8896
1971-02-02,Australia,0.8897
1971-02-03,Australia,0.8896
1971-02-04,Australia,0.8902
1971-02-05,Australia,0.8909
1971-02-08,Australia,0.8897
1971-02-09,Australia,0.8908
1971-02-10,Australia,0.8906
1971-02-11,Australia,0.8906
1971-02-12,Australia,
1971-02-15,Australia,
1971-02-16,Australia,0.8893
1971-02-17,Australia,0.8893
1971-02-18,Australia,0.8894
1971-02-19,Australia,0.8894
1971-02-22,Australia,0.8893
1971-02-23,Australia,0.8893
1971-02-24,Australia,0.8893
1971-02-25,Australia,0.8898
1971-02-26,Australia,0.8905
1971-03-01,Australia,0.8904
1971-03-02,Australia,0.8896
1971-03-03,Australia,0.8893
1971-03-04,Australia,0.8898
1971-03-05,Australia,0.8896
1971-03-08,Australia,0.8893
1971-03-09,Australia,0.8894
1971-03-10,Australia,0.8893
1971-03-11,Australia,0.8894
1971-03-12,Australia,0.8893
1971-03-15,Australia,0.8893
1971-03-16,Australia,0.8896
1971-03-17,Australia,0.8892
1971-03-18,Australia,0.8894
1971-03-19,Australia,0.8894
1971-03-22,Australia,0.8893
1971-03-23,Australia,0.8893
1971-03-24,Australia,0.8892
1971-03-25,Australia,0.8896
1971-03-26,Australia,0.8894
1971-03-29,Australia,0.8892
1971-03-30,Australia,0.8897
1971-03-31,Australia,0.8902
1971-04-01,Australia,0.8909
1971-04-02,Australia,0.8918
1971-04-05,Australia,0.8905
1971-04-06,Australia,0.8894
1971-04-07,Australia,0.8902
1971-04-08,Australia,0.8902
1971-04-09,Australia,0.8902
1971-04-12,Australia,0.8902
1971-04-13,Australia,0.8902
1971-04-14,Australia,0.8898
1971-04-15,Australia,0.8895
1971-04-16,Australia,0.8895
1971-04-19,Australia,0.8893
1971-04-20,Australia,0.8893
1971-04-21,Australia,0.8892
1971-04-22,Australia,0.8895
1971-04-23,Australia,0.8894
1971-04-26,Australia,0.8894
1971-04-27,Australia,0.8894
1971-04-28,Australia,0.8892
1971-04-29,Australia,0.8893
1971-04-30,Australia,0.8893
1971-05-03,Australia,0.8894
1971-05-04,Australia,0.8895
1971-05-05,Australia,0.8892
1971-05-06,Australia,0.8895
1971-05-07,Australia,0.8894
1971-05-10,Australia,0.89
1971-05-11,Australia,0.8901
1971-05-12,Australia,0.8897
1971-05-13,Australia,0.8897
1971-05-14,Australia,0.8895
1971-05-17,Australia,0.8893
1971-05-18,Australia,0.8894
1971-05-19,Australia,0.8892
1971-05-20,Australia,0.8893
1971-05-21,Australia,0.8892
1971-05-24,Australia,0.8892
1971-05-25,Australia,0.8894
1971-05-26,Australia,0.8892
1971-05-27,Australia,0.8894
1971-05-28,Australia,0.8898
1971-05-31,Australia,
1971-06-01,Australia,0.8904
1971-06-02,Australia,0.8902
1971-06-03,Australia,0.8894
1971-06-04,Australia,0.8894
1971-06-07,Australia,0.8893
1971-06-08,Australia,0.8894
1971-06-09,Australia,0.8892
1971-06-10,Australia,0.8893
1971-06-11,Australia,0.8892
1971-06-14,Australia,0.8895
1971-06-15,Australia,0.8895
1971-06-16,Australia,0.8893
1971-06-17,Australia,0.8894
1971-06-18,Australia,0.8894
1971-06-21,Australia,0.8894
1971-06-22,Australia,0.8894
1971-06-23,Australia,0.8892
1971-06-24,Australia,0.8894
1971-06-25,Australia,0.8894
1971-06-28,Australia,0.8895
1971-06-29,Australia,0.8894
1971-06-30,Australia,0.8892
1971-07-01,Australia,0.8894
1971-07-02,Australia,0.8894
1971-07-05,Australia,
1971-07-06,Australia,0.8897
1971-07-07,Australia,0.8895
1971-07-08,Australia,0.8895
1971-07-09,Australia,0.8896
1971-07-12,Australia,0.8897
1971-07-13,Australia,0.8898
1971-07-14,Australia,0.8895
